tier,throughput_mbps,power_w,cpu_pct
far_edge_rpi,3.0,4.05,1.8
far_edge_rpi,25.0,4.42,10.3
far_edge_rpi,50.0,4.54,18.1
far_edge_rpi,75.0,4.61,25.5
far_edge_rpi,100.0,4.73,34.5
far_edge_rpi,125.0,4.88,44.6
far_edge_rpi,150.0,4.94,48.2
far_edge_rpi,174.9,5.06,56.6
far_edge_rpi,199.9,5.24,63.2
far_edge_rpi,224.9,5.31,62.9
far_edge_rpi,249.4,5.51,76.7
far_edge_rpi,274.0,5.58,78.2
far_edge_rpi,288.8,5.85,94.0
far_edge_rpi,288.9,5.82,94.8
edge_nuc,3.0,9.11,4.8
edge_nuc,75.0,13.12,8.2
edge_nuc,150.0,14.57,11.1
edge_nuc,225.0,17.2,14.4
edge_nuc,300.0,17.92,17.4
edge_nuc,375.0,18.38,20.4
edge_nuc,450.0,18.82,24.2
edge_nuc,525.0,19.4,25.6
edge_nuc,599.9,20.05,29.2
edge_nuc,674.8,20.52,32.4
edge_nuc,749.8,21.14,36.4
edge_nuc,824.5,21.54,39.8
edge_nuc,898.5,22.09,42.6
edge_nuc,924.4,22.24,41.9
cloud_server,3.0,247.54,
cloud_server,34.0,247.54,
cloud_server,66.0,247.53,
cloud_server,68.0,247.75,0.1
cloud_server,102.0,247.96,0.1
cloud_server,132.0,247.71,0.1
cloud_server,133.4,248.16,0.2
cloud_server,155.6,248.35,2.5
cloud_server,179.5,251.16,7.8
cloud_server,198.0,247.94,0.1
cloud_server,221.3,251.86,10.7
cloud_server,252.9,252.89,15.0
cloud_server,264.0,248.13,0.1
cloud_server,285.7,253.1,17.3
cloud_server,320.4,254.12,22.4
cloud_server,329.2,248.34,2.0
cloud_server,344.0,254.78,25.5
cloud_server,386.4,255.05,29.4
cloud_server,396.0,251.02,7.5
cloud_server,423.3,256.15,33.7
cloud_server,461.9,251.68,11.0
cloud_server,464.5,256.37,37.7
cloud_server,491.7,257.72,41.8
cloud_server,523.3,257.74,45.9
cloud_server,527.9,252.67,14.7
cloud_server,548.5,259.92,55.9
cloud_server,548.5,259.87,61.6
cloud_server,549.2,258.67,50.2
cloud_server,549.7,261.33,69.6
cloud_server,553.6,259.35,53.4
cloud_server,559.0,260.81,65.0
cloud_server,593.7,252.86,17.3
cloud_server,618.7,259.72,84.1
cloud_server,659.6,253.82,22.6
cloud_server,725.1,254.46,25.7
cloud_server,790.6,254.71,29.6
cloud_server,856.9,255.78,34.1
cloud_server,922.4,255.98,38.0
cloud_server,987.6,257.32,42.1
cloud_server,1053.6,257.27,45.8
cloud_server,1119.0,258.47,50.0
cloud_server,1123.2,261.06,69.4
cloud_server,1125.3,259.68,61.5
cloud_server,1125.3,259.75,55.8
cloud_server,1126.6,259.18,52.9
cloud_server,1147.8,260.61,64.5
